"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Another customer cannot read someone else's order","","2026-07-12","broken","2026-07-12","","Orders are visible only to their owner","Another customer cannot read someone else's order",""
"","25","Place an order from a cart","","2026-07-12","broken","2026-07-12","","Place Order","Place an order from a cart",""
"","211","Search returns matching products in UI and API","","2026-07-12","broken","2026-07-12","","Product search","Search returns matching products in UI and API",""
"","1176","Add another item into an existing cart","","2026-07-12","broken","2026-07-12","","Add Product To Cart","Add another item into an existing cart",""
"","28","A placed order can only be cancelled once","","2026-07-12","broken","2026-07-12","","Cancel rules","A placed order can only be cancelled once",""
"","3946","A logged-in customer checks out a two-item cart","","2026-07-12","broken","2026-07-12","","Checkout places an order and the backend agrees","A logged-in customer checks out a two-item cart",""
"","38","Cart total is the sum of quantity times price","","2026-07-12","broken","2026-07-12","","Cart totals","Cart total is the sum of quantity times price",""
